Breed,Age (years),Weight (kg),Gender,Spayed/Neutered,Vaccination Status,Fever,Eating Normally,Lethargy,Vomiting,Coughing/Sneezing,Breathing Issue,Rash/Swelling,Wounds/Cuts,Hair Loss,Excessive Scratching,Red/Watery Eyes,Eye Discharge,Ear Odor,Shakes Head,Eating Less,Excessive Drinking,Abnormal Stools,Aggressive/Irritable,Avoiding Interaction,Pacing/Whining,Pain Symptoms,Food Changes,Exposure to Sick Dogs,Predicted Sickness
Doberman Pinscher,13,53.2,Male,Yes,Up to date,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Ear Infection
Pomeranian,4,6.1,Female,Yes,Up to date,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Parvovirus
Maltese,8,6.9,Female,No,Not up to date,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Gastrointestinal Infection
Mastiff,9,53.2,Male,Yes,Up to date,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Gastrointestinal Infection
Golden Retriever,4,39.6,Male,No,Up to date,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Gastrointestinal Infection
Bulldog,0,13.2,Male,No,Not up to date,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Skin Allergy
Shih Tzu,10,5.2,Male,Yes,Not up to date,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Respiratory Infection
Corgi,15,10.9,Male,No,Not up to date,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Heart Disease
Beagle,4,22.2,Male,No,Not up to date,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Kennel Cough
Golden Retriever,11,29.0,Female,No,Not up to date,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Gastrointestinal Infection
Shetland Sheepdog,5,20.3,Male,Yes,Not up to date,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Skin Allergy
Cocker Spaniel,0,17.9,Male,Yes,Up to date,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Gastrointestinal Infection
Shih Tzu,5,3.9,Male,No,Not up to date,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Skin Allergy
Bernese Mountain Dog,4,28.5,Male,No,Not up to date,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Skin Allergy
Border Collie,13,9.9,Female,Yes,Not up to date,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Gastrointestinal Infection
Corgi,2,13.9,Male,Yes,Not up to date,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Skin Allergy
Great Pyrenees,13,48.3,Male,No,Up to date,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Gastrointestinal Infection
Tibetan Mastiff,14,39.4,Female,No,Not up to date,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Skin Allergy
Boxer,13,40.3,Male,Yes,Not up to date,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Gastrointestinal Infection
Doberman Pinscher,10,27.6,Female,Yes,Up to date,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Gastrointestinal Infection
Doberman Pinscher,11,53.8,Female,Yes,Up to date,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Ear Infection
Siberian Husky,10,37.1,Male,Yes,Not up to date,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Ear Infection
Irish Wolfhound,10,26.3,Male,No,Not up to date,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Respiratory Infection
Pomeranian,12,4.9,Male,No,Not up to date,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Ear Infection
Pomeranian,10,6.6,Female,Yes,Up to date,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Gastrointestinal Infection
Dachshund,12,6.6,Male,No,Up to date,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Ear Infection
Corgi,0,20.0,Male,Yes,Not up to date,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Gastrointestinal Infection
Bulldog,5,24.8,Female,No,Not up to date,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Diabetes
Golden Retriever,15,52.0,Male,No,Not up to date,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Gastrointestinal Infection
Bernese Mountain Dog,0,53.9,Female,No,Up to date,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Gastrointestinal Infection
Yorkshire Terrier,2,6.5,Female,No,Up to date,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Skin Allergy
Great Pyrenees,2,42.4,Female,No,Not up to date,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Skin Allergy
Golden Retriever,14,30.0,Female,Yes,Up to date,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Skin Allergy
Shih Tzu,12,3.1,Female,No,Up to date,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Respiratory Infection
Boxer,0,38.7,Male,Yes,Up to date,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Gastrointestinal Infection
Beagle,3,11.0,Male,No,Not up to date,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Gastrointestinal Infection
Akita,13,31.9,Female,No,Up to date,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Arthritis
Dachshund,0,4.8,Male,Yes,Up to date,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Respiratory Infection
Chihuahua,12,7.9,Male,Yes,Up to date,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Skin Allergy
Tibetan Mastiff,5,39.3,Female,No,Not up to date,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Gastrointestinal Infection
Dachshund,11,6.1,Male,Yes,Up to date,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Skin Allergy
Tibetan Mastiff,15,45.0,Female,Yes,Up to date,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Gastrointestinal Infection
Leonberger,1,45.2,Male,Yes,Not up to date,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Gastrointestinal Infection
Toy Poodle,1,5.4,Male,Yes,Not up to date,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Ear Infection
Beagle,14,22.3,Male,Yes,Not up to date,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Gastrointestinal Infection
Maltese,11,2.8,Male,No,Up to date,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Diabetes
Doberman Pinscher,6,59.1,Female,Yes,Not up to date,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Skin Allergy
Labrador Retriever,13,32.9,Female,No,Not up to date,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Skin Allergy
Alaskan Malamute,3,41.9,Female,No,Not up to date,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Skin Allergy
Bulldog,12,24.6,Female,Yes,Not up to date,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Gastrointestinal Infection
Beagle,9,18.8,Female,No,Not up to date,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Ear Infection
Mastiff,6,38.5,Female,No,Up to date,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Ear Infection
Siberian Husky,8,44.0,Female,No,Up to date,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Worm Infestation
Labrador Retriever,10,58.7,Male,No,Not up to date,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Skin Allergy
Australian Shepherd,0,17.2,Male,No,Not up to date,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Gastrointestinal Infection
Corgi,14,15.0,Male,No,Up to date,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Skin Allergy
Shih Tzu,7,6.2,Male,No,Up to date,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Skin Allergy
Great Dane,7,39.3,Female,Yes,Not up to date,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Healthy
Irish Wolfhound,10,26.3,Male,Yes,Up to date,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Ear Infection
Great Dane,2,43.2,Female,No,Not up to date,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Gastrointestinal Infection
Bernese Mountain Dog,15,27.3,Male,No,Up to date,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Ear Infection
Saint Bernard,12,45.4,Female,No,Up to date,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Parvovirus
Beagle,4,20.8,Female,Yes,Not up to date,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Parvovirus
Pomeranian,6,3.0,Male,Yes,Not up to date,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Skin Allergy
Pomeranian,10,6.2,Female,No,Not up to date,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Skin Allergy
German Shepherd,15,47.1,Male,No,Up to date,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Gastrointestinal Infection
Chihuahua,4,3.5,Male,Yes,Up to date,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Worm Infestation
Beagle,1,15.4,Male,No,Not up to date,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Gastrointestinal Infection
Toy Poodle,1,4.7,Female,No,Up to date,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Kennel Cough
Toy Poodle,12,2.1,Male,No,Not up to date,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Arthritis
Beagle,6,24.7,Female,No,Up to date,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Gastrointestinal Infection
Great Dane,11,26.5,Female,No,Up to date,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Skin Allergy
Boxer,5,53.4,Male,Yes,Not up to date,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Skin Allergy
Great Pyrenees,3,59.0,Male,Yes,Not up to date,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Gastrointestinal Infection
Mastiff,12,37.8,Male,No,Up to date,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Heart Disease
Toy Poodle,2,3.7,Female,No,Not up to date,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Kennel Cough
Labrador Retriever,3,54.6,Female,Yes,Not up to date,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Worm Infestation
Rottweiler,0,48.7,Male,Yes,Up to date,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Ear Infection
Toy Poodle,12,5.7,Female,Yes,Not up to date,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Skin Allergy
Labrador Retriever,9,54.5,Male,No,Not up to date,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Gastrointestinal Infection
Akita,5,51.0,Female,No,Not up to date,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Heart Disease
Mastiff,10,47.4,Male,No,Up to date,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Skin Allergy
Pomeranian,13,4.1,Male,Yes,Not up to date,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Worm Infestation
Staffordshire Bull Terrier,6,22.3,Male,No,Not up to date,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Gastrointestinal Infection
Chihuahua,1,5.5,Male,Yes,Up to date,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Gastrointestinal Infection
Corgi,5,24.9,Female,Yes,Up to date,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Kennel Cough
Great Dane,3,26.5,Female,No,Not up to date,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Gastrointestinal Infection
Shetland Sheepdog,12,20.5,Male,No,Not up to date,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Ear Infection
Labrador Retriever,0,55.6,Male,Yes,Not up to date,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Respiratory Infection
Golden Retriever,9,35.4,Female,Yes,Not up to date,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Skin Allergy
Belgian Malinois,1,51.8,Female,Yes,Not up to date,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Ear Infection
Shetland Sheepdog,0,24.2,Male,Yes,Up to date,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Gastrointestinal Infection
Golden Retriever,12,36.7,Female,Yes,Not up to date,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Respiratory Infection
Border Collie,15,16.6,Male,No,Up to date,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Healthy
Maltese,2,7.5,Male,No,Not up to date,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Gastrointestinal Infection
Yorkshire Terrier,13,6.6,Male,Yes,Not up to date,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Respiratory Infection
Toy Poodle,10,2.4,Female,Yes,Up to date,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Heart Disease
Dachshund,3,7.3,Female,Yes,Not up to date,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Respiratory Infection
German Shepherd,0,34.7,Male,Yes,Not up to date,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Gastrointestinal Infection
Maltese,1,3.1,Female,Yes,Up to date,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Ear Infection
Australian Shepherd,12,22.8,Male,No,Up to date,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Ear Infection
Yorkshire Terrier,6,3.8,Male,No,Up to date,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Skin Allergy
Toy Poodle,9,6.3,Male,Yes,Up to date,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Gastrointestinal Infection
Golden Retriever,0,28.5,Male,Yes,Not up to date,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Gastrointestinal Infection
Rottweiler,6,52.2,Male,Yes,Up to date,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Skin Allergy
Shetland Sheepdog,11,22.8,Male,No,Up to date,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Skin Allergy
Akita,2,42.1,Female,No,Up to date,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Ear Infection
Golden Retriever,7,58.8,Male,Yes,Up to date,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Respiratory Infection
German Shepherd,13,56.9,Female,Yes,Up to date,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Skin Allergy
Rottweiler,11,31.1,Female,No,Up to date,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Diabetes
Alaskan Malamute,11,52.9,Male,No,Up to date,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Ear Infection
Doberman Pinscher,11,49.5,Male,Yes,Not up to date,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Respiratory Infection
Chihuahua,13,6.1,Male,Yes,Not up to date,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Gastrointestinal Infection
Alaskan Malamute,2,35.1,Male,No,Up to date,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Ear Infection
Maltese,12,6.8,Female,Yes,Not up to date,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Parvovirus
Toy Poodle,13,3.6,Male,No,Up to date,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Respiratory Infection
Irish Wolfhound,4,49.0,Male,Yes,Not up to date,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Diabetes
Mastiff,11,52.8,Female,Yes,Up to date,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Respiratory Infection
Toy Poodle,1,3.9,Female,Yes,Not up to date,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Respiratory Infection
Alaskan Malamute,12,29.3,Male,No,Not up to date,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Parvovirus
Great Dane,7,35.8,Female,No,Up to date,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Skin Allergy
Saint Bernard,7,50.7,Female,No,Not up to date,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Gastrointestinal Infection
Shetland Sheepdog,11,24.4,Female,No,Up to date,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Ear Infection
Shetland Sheepdog,14,15.8,Female,No,Not up to date,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Gastrointestinal Infection
Shih Tzu,10,4.7,Male,Yes,Up to date,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Parvovirus
Australian Shepherd,1,10.3,Male,No,Not up to date,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Gastrointestinal Infection
Yorkshire Terrier,8,5.4,Male,No,Not up to date,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Respiratory Infection
German Shepherd,7,49.8,Female,Yes,Up to date,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Ear Infection
Belgian Malinois,15,33.6,Female,No,Up to date,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Gastrointestinal Infection
Alaskan Malamute,7,58.9,Male,No,Up to date,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Ear Infection
Doberman Pinscher,5,55.7,Male,Yes,Not up to date,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Respiratory Infection
Staffordshire Bull Terrier,2,22.3,Male,No,Not up to date,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Respiratory Infection
Alaskan Malamute,2,54.3,Male,Yes,Not up to date,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Skin Allergy
